timestamp,cps,cps_err,usv_hr
1778108250.38664,14.0,2.6457513110645907,0.175476
1778108252.4215126,4.5,1.5,0.056403
1778108254.4490373,5.0,1.5811388300841898,0.06267
1778108256.4731019,7.0,1.8708286933869707,0.087738
1778108258.4807355,9.5,2.179449471770337,0.119073
1778108260.4674492,6.0,1.7320508075688772,0.075204
1778108262.4885423,4.5,1.5,0.056403
1778108264.559861,3.5,1.3228756555322954,0.043869
1778108266.5541203,7.5,1.9364916731037085,0.094005
1778108268.5722823,9.0,2.1213203435596424,0.112806
1778108270.5854666,5.0,1.5811388300841898,0.06267
1778108272.608864,6.0,1.7320508075688772,0.075204
1778108274.6217866,7.0,1.8708286933869707,0.087738
1778108276.659543,5.0,1.5811388300841898,0.06267
1778108278.6928241,7.0,1.8708286933869707,0.087738
1778108280.7001317,4.0,1.4142135623730951,0.050136
1778108282.717965,7.0,1.8708286933869707,0.087738
1778108284.7470279,6.0,1.7320508075688772,0.075204
1778108286.7784395,9.5,2.179449471770337,0.119073
1778108288.7918031,8.0,2.0,0.100272
1778108290.7905483,4.0,1.4142135623730951,0.050136
1778108292.8539693,5.0,1.5811388300841898,0.06267
1778108294.8670096,7.5,1.9364916731037085,0.094005
1778108296.8524036,3.0,1.224744871391589,0.037602
1778108298.9157877,8.0,2.0,0.100272
1778108300.9463177,6.0,1.7320508075688772,0.075204
1778108302.9147375,6.0,1.7320508075688772,0.075204
1778108304.9730704,5.5,1.6583123951777,0.068937
1778108306.991582,12.0,2.449489742783178,0.150408
1778108309.0004516,10.0,2.23606797749979,0.12534
1778108311.017591,7.0,1.8708286933869707,0.087738
1778108313.045702,4.0,1.4142135623730951,0.050136
1778108315.058446,9.0,2.1213203435596424,0.112806
1778108317.076514,5.0,1.5811388300841898,0.06267
1778108319.1042328,6.5,1.8027756377319946,0.081471
1778108321.126043,6.5,1.8027756377319946,0.081471
1778108323.1348617,8.5,2.0615528128088303,0.106539
1778108325.2005098,8.5,2.0615528128088303,0.106539
1778108327.217005,4.0,1.4142135623730951,0.050136
1778108329.2388976,7.0,1.8708286933869707,0.087738
1778108331.2147107,10.5,2.29128784747792,0.131607
1778108333.272286,9.5,2.179449471770337,0.119073
1778108335.295044,7.5,1.9364916731037085,0.094005
1778108337.3217247,5.5,1.6583123951777,0.068937
1778108339.3291557,3.5,1.3228756555322954,0.043869
1778108341.322882,5.0,1.5811388300841898,0.06267
1778108343.3814623,6.0,1.7320508075688772,0.075204
1778108345.3895977,7.0,1.8708286933869707,0.087738
1778108347.4113116,8.5,2.0615528128088303,0.106539
1778108349.418522,5.5,1.6583123951777,0.068937
1778108351.4404066,4.5,1.5,0.056403
1778108353.5017083,9.0,2.1213203435596424,0.112806
1778108355.5111609,8.5,2.0615528128088303,0.106539
1778108357.5404365,6.0,1.7320508075688772,0.075204
1778108359.5522633,6.5,1.8027756377319946,0.081471
1778108361.581786,6.0,1.7320508075688772,0.075204
1778108363.5664704,4.0,1.4142135623730951,0.050136
1778108365.6235461,4.0,1.4142135623730951,0.050136
1778108367.6436777,6.0,1.7320508075688772,0.075204
1778108369.6216211,5.5,1.6583123951777,0.068937
1778108371.689216,3.5,1.3228756555322954,0.043869
1778108373.6975884,8.5,2.0615528128088303,0.106539
1778108375.7325237,3.5,1.3228756555322954,0.043869
1778108377.7554593,5.0,1.5811388300841898,0.06267
1778108379.7621381,9.5,2.179449471770337,0.119073
1778108381.7504852,5.5,1.6583123951777,0.068937
1778108383.8152843,8.5,2.0615528128088303,0.106539
1778108385.8454049,5.5,1.6583123951777,0.068937
1778108387.8568995,7.0,1.8708286933869707,0.087738
1778108389.869927,6.0,1.7320508075688772,0.075204
1778108391.8896146,5.0,1.5811388300841898,0.06267
1778108393.8966177,9.5,2.179449471770337,0.119073
1778108395.9163692,9.0,2.1213203435596424,0.112806
1778108397.9494069,8.0,2.0,0.100272
1778108399.9574776,4.5,1.5,0.056403
1778108401.9755774,8.0,2.0,0.100272
1778108404.0034692,3.0,1.224744871391589,0.037602
1778108406.0189574,7.0,1.8708286933869707,0.087738
1778108408.079349,5.5,1.6583123951777,0.068937
1778108410.0585623,8.0,2.0,0.100272
1778108412.0860386,3.5,1.3228756555322954,0.043869
1778108414.0994976,5.5,1.6583123951777,0.068937
1778108416.1349568,6.5,1.8027756377319946,0.081471
1778108418.1422997,9.0,2.1213203435596424,0.112806
1778108420.1991816,6.5,1.8027756377319946,0.081471
1778108422.1965816,3.5,1.3228756555322954,0.043869
1778108424.2078152,6.0,1.7320508075688772,0.075204
1778108426.2303312,6.0,1.7320508075688772,0.075204
1778108428.2875257,4.5,1.5,0.056403
1778108430.2969284,9.5,2.179449471770337,0.119073
1778108432.3255918,6.0,1.7320508075688772,0.075204
1778108434.334068,10.0,2.23606797749979,0.12534
1778108436.3558578,8.0,2.0,0.100272
1778108438.3867564,7.5,1.9364916731037085,0.094005
1778108440.3947294,7.0,1.8708286933869707,0.087738
1778108442.4147563,6.5,1.8027756377319946,0.081471
1778108444.4476442,10.0,2.23606797749979,0.12534
1778108446.4697616,8.5,2.0615528128088303,0.106539
